Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,49,Oregon State Univ,Beaver Racing,55,55,
2,52,Maharashtra Institute of Technology,Team Piranha racing,53,53,
3,3,Rochester Institute of Technology,RIOT RACING,51,51,
4,119,Univ of Rochester,Yellowjacket Racing,49,49,
5,4,Ecole de Technologie Superieure,BAJA ETS,48,48,
6,32,Cummins College Of Engineering,TZ5,47,47,
6,53,Univ of Maryland - Baltimore County,UMBC Racing,47,47,
8,29,Univ of Nevada - Las Vegas,Rebel Racing,46,46,
8,87,Virginia Tech,VT Baja,46,46,
10,1,Cornell Univ,Cornell Baja,45,45,
10,76,Government College of Engrg Pune,Team Nemesis Racing,45,45,
12,41,New Jersey Institute of Technology,Highlander Racing,44,44,
12,54,Youngstown State Univ,YSU Baja,44,44,
12,123,Georgia Institute of Technology,GT Off-Road,44,44,
15,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,43,43,
15,108,Case Western Reserve Univ,CWRU Motorsports,43,43,
17,44,Michigan State Univ,MSU Baja,42,42,
17,99,Johns Hopkins Univ,Blue Jay Racing,42,42,
19,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,41,41,
19,100,Univ of Pittsburgh - Johnstown,Steel Panther Racing,41,41,
21,81,North Carolina State Univ - Raleigh,Pack Motorsports,40,40,
21,122,St Clair County Community College,SC4 Baja,40,40,
23,19,Rowan Univ,Rowan Motorsports,39,39,
23,67,Tennessee Tech Univ,TTU Baja,39,39,
25,11,Cleveland State Univ,Vikings Racing,38,38,
25,24,Northwestern Univ,Northwestern Motorcats,38,38,
25,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,38,38,
28,33,Olin College of Engineering,Olin Baja,37,37,
28,69,Olivet Nazarene Univ,ONU Racing19,37,37,
30,60,Michigan Tech Univ,Blizzard Baja,36,36,
30,106,Central Michigan Univ,Chippewa Performance,36,36,
32,2,Univ of Akron,Zips Baja,35,35,
32,8,Univ of Nebraska - Lincoln,Husker Racing,35,35,
34,75,Univ of Calif - Los Angeles,Bruin Racing,34,34,
34,86,Univ of Missouri - Kansas City,UMKC Baja Racing,34,34,
36,46,Harding Univ,Bison Baja,33,33,
36,80,Universidad Autonoma Estado Mexico,Sara juana RT,33,33,
38,9,Univ of Central Florida,Knights Racing,32,32,
38,35,Universidad De La Salle Bajio,felinos 1,32,32,
40,14,Univ of Texas - Rio Grande,RGV Baja Racing,31,31,
40,71,Iowa State Univ,Cyclone Racing,31,31,
42,17,Purdue Univ - Northwest,PNW Motorsports,30,30,
42,126,George Washington Univ,GW Baja,30,30,
44,31,Millersville Univ of PA,Millersville Baja,29,29,
44,56,North Carolina A & T State Univ,Aggie Racing,29,29,
46,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,28,28,
46,121,Ferris State University,Ferris State Baja Racing,28,28,
48,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,27,27,
48,118,Queen's Univ,Queen's Baja,27,27,
50,5,San Diego State Univ,Aztec Baja,26,26,
50,6,Clarkson University,Golden Knights Racing,26,26,
50,38,Bucknell Univ,Bucknell Baja,26,26,
53,89,California State Univ- Chico,Wildcat racing,25,25,
53,97,Kansas State Univ - Salina,Baja SAE Salina,25,25,
55,27,Pittsburg State University,Gorilla Racing,24,24,
55,96,Univ of Evansville,UE BAJA,24,24,
57,92,Louisiana State Univ,Baja Bengals,23,23,
57,120,University of Mount Union,Raider Racing,23,23,
59,30,Lipscomb Univ,Lipscomb Motor Sports,22,22,
59,107,Miami Univ,Redhawk Racing,22,22,
61,40,Univ of Tennessee -Chattanooga,UTC Racing Mocs,21,21,
61,95,Univ of Arkansas - Fayetteville,Full Boar Racing,21,21,
63,36,Wright State Univ,Raider Racers,20,20,
63,64,Univ of Tennessee - Martin,SKYHAWK Racing,20,20,
65,16,Universidad Panamericana,Panteras Racing,19,19,
65,77,Missouri State University,MSU Baja,19,19,
67,65,Univ of Wisconsin - Stout,Blue Devil Racing,18,18,
67,91,Northern Illinois Univ,Niu Baja,18,18,
69,13,Pennsylvania College of Technology,PCTBaja,17,17,
69,25,Middle Tennessee State Univ,MTSU motorsports,17,17,
71,102,Univ of Wisconsin - Milwaukee,UW MKE Baja,16,16,
71,115,Univ of Alabama - Birmingham,Blazer Motorsports,16,16,
73,39,Oklahoma Christian Univ,Eagle Heavy 1,15,15,
73,114,Univ of Missouri,Mizzou Baja Racing,15,15,
75,22,Western New England University,Golden Bear Racing,14,14,
75,50,Lawrence Technological Univ,Blue Devil Motorsports,14,14,
75,116,Univ of Notre Dame,Irish Racing,14,14,
78,47,Mississippi State Univ,MSState Mud Dawgs,13,13,
78,58,Univ of Virginia,Virginia Motorsports,13,13,
80,73,Kansas State Univ,Wildcat Offroad,12,12,
81,51,Univ of West Florida,UWF Argos,11,11,
81,62,Southern Illinois Univ - Edwardville,Cougar Baja,11,11,
83,18,Lamar Univ,BB2,10,10,
83,101,Univ of Kansas - Lawrence,JMSBaja,10,10,
,26,East Carolina Univ,East Carolina,,0,
,66,Ohio Northern Univ,Polar Bear Racing,,0,
