Rank,Car #,School,Team,Report Score,Eval. Score,Bonus Points,Penalty Points,Final Score,Message For Team
71,95,Univ of Arkansas - Fayetteville,Full Boar Racing,0,30,0,0,30,
71,101,Univ of Kansas - Lawrence,JMSBaja,0,40,0,10,30,Report late
71,115,Univ of Alabama - Birmingham,Blazer Motorsports,0,30,0,0,30,
71,121,Ferris State University,Ferris State Baja Racing,0,30,0,0,30,
71,122,St Clair County Community College,SC4 Baja,0,30,0,0,30,
82,14,Univ of Texas - Rio Grande,RGV Baja Racing,0,30,0,10,20,Report late
82,77,Missouri State University,MSU Baja,0,20,0,0,20,
84,36,Wright State Univ,Raider Racers,0,0,0,0,0,
84,39,Oklahoma Christian Univ,Eagle Heavy 1,0,0,0,0,0,
84,66,Ohio Northern Univ,Polar Bear Racing,0,0,0,0,0,
84,74,West Virginia Univ,Mountaineers,0,0,0,0,0,
84,82,Liberty Univ,Liberty University Baja,0,0,0,0,0,
84,83,Instituto Tecnologico de Queretaro,Baja SAE ITQ,0,0,0,0,0,
84,103,Univ of Helwan,BHU,0,0,0,0,0,
84,116,Univ of Notre Dame,Irish Racing,0,0,0,0,0,
92,98,Univ of Texas -Tyler,Red Dirt Racing,0,0,0,10,0,Report late
92,111,Military Technical College,MTC Racing,0,0,0,10,0,Report late
94,70,AISSMS College of Engineering,RESONANCE RACING,0,0,0,30,0,Report late
95,21,Arkansas State Univ,Arkansas State Red wolves,0,0,0,50,0,Report late
95,124,Univ of Louisville,Louisville SAE Baja,0,0,0,50,0,Report late
