Rank,Car #,School,Team,Time Run 1,Time Run 2,Best Time,Score
1,116,Cornell Univ,Cornell Baja Racing,3.951,3.854,3.854,70
2,106,Université Laval,Alerion,3.885,3.962,3.885,68.87
3,108,Pennsylvania College of Technology,PCT Baja,3.967,4.014,3.967,65.9
4,100,Case Western Reserve Univ,CWRU Motorsports,4.06,,4.06,62.52
5,71,Ecole de Technologie Superieure,Baja ETS,4.24,4.084,4.084,61.65
6,34,North Carolina State Univ - Raleigh,Pack Motorsports,4.192,4.085,4.085,61.61
7,115,Univ of Nevada - Las Vegas,Rebel Racing,4.094,4.095,4.094,61.28
8,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,4.366,4.117,4.117,60.45
9,114,Purdue Univ - W Lafayette,Purdue Baja Racing,4.32,4.219,4.219,56.74
10,122,Lehigh Univ,Lehigh Engineers,4.24,4.365,4.24,55.98
11,94,McMaster Univ,McMaster Baja Racing,4.429,4.288,4.288,54.23
12,109,Univ of Maryland - College Park,Terps Racing,4.812,4.37,4.37,51.26
13,111,San Diego State Univ,Aztec Baja Racing,4.381,,4.381,50.86
14,76,Brigham Young University,BYU Baja,4.391,4.402,4.391,50.49
15,62,Univ of Tennessee - Martin,Skyhawk Racing,4.392,,4.392,50.46
16,75,Southern Illinois Univ - Edwardville,Cougar Baja,4.393,,4.393,50.42
17,101,Virginia Tech,VT Baja,4.398,4.701,4.398,50.24
18,91,Northeastern Univ,Skunkworks,4.443,4.648,4.443,48.6
19,112,Iowa State Univ,Cyclone Off-Road Racing,4.557,4.456,4.456,48.13
20,25,West Virginia Univ,Mountaineers,4.488,,4.488,46.97
21,14,Tennessee Tech Univ,TnTech Baja,4.904,4.493,4.493,46.79
22,97,Clarkson University,Golden Knights Racing,4.5,5.011,4.5,46.53
23,119,Queen's Univ,Queen's Baja SAE,4.654,4.555,4.555,44.54
24,15,Bradley Univ,B Squared,4.753,4.59,4.59,43.26
25,96,Johns Hopkins Univ,Blue Jay Racing,4.878,4.592,4.592,43.19
26,68,Michigan State University,MSU Baja Racing,4.887,4.597,4.597,43.01
27,40,South Dakota School of Mines & Tech,Hardrocker Gold,4.63,4.755,4.63,41.81
28,22,Georgia Institute of Technology,GT Off-Road,4.634,4.808,4.634,41.67
29,17,Univ of Nebraska - Lincoln,Husker Racing,4.649,4.792,4.649,41.12
30,45,Western New England University,Golden Bear Racing,4.875,4.66,4.66,40.72
31,113,Rochester Institute of Technology,RIOT RACING,4.814,4.684,4.684,39.85
32,26,Oregon State Univ,Beaver Racing,4.7,4.72,4.7,39.27
33,65,Northwestern Univ,Northwestern MotorCats,4.737,4.702,4.702,39.2
34,88,West Virginia Univ Inst of Tech,Golden Bear Racing,4.746,,4.746,37.6
35,42,Oklahoma Christian Univ,OC Baja Racing,4.892,4.749,4.749,37.49
