Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,115,Univ of Nevada - Las Vegas,Rebel Racing,20,0,100,
2,71,Ecole de Technologie Superieure,Baja ETS,20,0,91.27,
3,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,17,0,90.88,
4,106,Université Laval,Alerion,20,0,90.05,
5,113,Rochester Institute of Technology,RIOT RACING,16,0,87.05,
6,95,Univ of Maryland - Baltimore County,UMBC Racing,19,0,84.35,
7,26,Oregon State Univ,Beaver Racing,20,0,84.33,
8,109,Univ of Maryland - College Park,Terps Racing,18,0,82.09,
9,103,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,14,0,77.68,
10,116,Cornell Univ,Cornell Baja Racing,20,0,76.81,
11,96,Johns Hopkins Univ,Blue Jay Racing,20,0,75.18,
12,22,Georgia Institute of Technology,GT Off-Road,12,0,74.95,
13,100,Case Western Reserve Univ,CWRU Motorsports,17,0,74,
14,85,Central Michigan Univ,CMU Baja,11,0,73.67,
15,61,Univ of Alabama - Tuscaloosa,Bama Racing,8,0,71.17,
16,54,Texas A&M Univ,Fightin' Texas Aggie Motorsport,18,0,71.16,
17,76,Brigham Young University,BYU Baja,8,0,68.86,
18,31,Univ of West Florida,Argo Racing,18,0,66.73,
19,119,Queen's Univ,Queen's Baja SAE,20,0,65.48,
20,97,Clarkson University,Golden Knights Racing,7,0,65.23,
21,94,McMaster Univ,McMaster Baja Racing,20,0,64.3,
22,104,Univ of Missouri - Kansas City,Roo Racing,19,0,63.57,
23,83,Arkansas State Univ,Red Wolf Riders,4,0,63,
24,45,Western New England University,Golden Bear Racing,18,0,62.83,
25,108,Pennsylvania College of Technology,PCT Baja,18,0,62.22,
26,114,Purdue Univ - W Lafayette,Purdue Baja Racing,19,0,61.96,
27,110,McGill Univ,McGill Baja Racing,8,0,61.77,
28,117,New Jersey Institute of Technology,Highlander racing,9,0,61.31,
29,91,Northeastern Univ,Skunkworks,8,0,60.2,
30,101,Virginia Tech,VT Baja,8,0,59.98,
31,28,Youngstown State Univ,penguin baja racing,20,0,57.96,
32,14,Tennessee Tech Univ,TnTech Baja,17,0,57.83,
33,63,Missouri University of Science and Tech,Miner Baja,14,0,55.88,
34,13,Auburn Univ,Auburn Off-Road,4,0,55.85,
35,88,West Virginia Univ Inst of Tech,Golden Bear Racing,10,0,54.57,
36,51,Universidad Autonoma Estado Mexico,Sara Juana,0,0,54.46,
37,93,Univ of Central Florida,Knights Racing,19,0,53.08,
38,118,Univ of San Diego,Torero Racing,13,0,52.04,
39,17,Univ of Nebraska - Lincoln,Husker Racing,16,0,51.59,
40,58,Univ of Southern Indiana,Screaming Eagle Racing,10,0,50.13,
41,64,Seattle Pacific Univ,SPU Falcon Racing,17,0,48.26,
42,82,Univ of Pittsburgh - Johnstown,Steel Panther Racing,16,0,46.55,
43,49,Middle Tennessee State Univ,MTSU motorsports,0,0,46.41,
44,40,South Dakota School of Mines & Tech,Hardrocker Gold,13,0,46.26,
45,35,Lawrence Technological Univ,Blue Devil Motorsports,18,0,46.06,
46,33,Univ of Calif - Los Angeles,Bruin Racing Baja,20,0,44.6,
47,122,Lehigh Univ,Lehigh Engineers,13,0,41.54,
48,56,Old Dominion Univ,Whiskey Throttle Racing,17,0,40.75,
49,77,Western University,Western Baja SAE,7,0,40.58,
50,25,West Virginia Univ,Mountaineers,14,0,40.02,
51,24,Olin College of Engineering,Olin Baja SAE,8,0,39.47,
52,111,San Diego State Univ,Aztec Baja Racing,4,0,39.38,
53,92,Univ of Tennessee -Chattanooga,Racing Mocs,13,0,38.92,
54,34,North Carolina State Univ - Raleigh,Pack Motorsports,16,0,38.46,
55,74,Univ of Kansas - Lawrence,Jayhawk Motorsports Baja,10,0,37.13,
56,105,Univ of Rochester,Yellowjacket Racing,7,0,34.94,
57,39,Univ of Colorado - Boulder,CU Boulder Baja,14,0,34.41,
58,102,Georgia Southern Univ,Eagle Motorsports,14,0,32.57,
59,42,Oklahoma Christian Univ,OC Baja Racing,7,0,31.08,
60,15,Bradley Univ,B Squared,8,0,30.56,
61,55,Virginia Military Inst,VMI Baja,14,0,28.98,
62,18,North Carolina A & T State Univ,Aggie Racing,13,0,28.84,
63,38,Univ of Illinois - Chicago,UIC Motorsports,10,0,27.81,
64,62,Univ of Tennessee - Martin,Skyhawk Racing,10,0,26.07,
65,75,Southern Illinois Univ - Edwardville,Cougar Baja,13,0,25.69,
66,112,Iowa State Univ,Cyclone Off-Road Racing,8,0,23.93,
67,72,New Mexico Inst of Mining & Tech,NMT Baja SAE,7,0,22.89,
68,68,Michigan State University,MSU Baja Racing,12,0,18.9,
69,53,Cetys Universidad,CMB Racing,18,0,18,
70,11,Purdue Univ - Northwest,PNW Baja Motorsports,17,0,17,
71,67,South Dakota State Univ,Jackrabbit Baja,14,0,14,
72,47,Geneva College,Geneva Racing,13,0,13,
73,16,Utah State University,USU Mini Baja,10,0,10.82,
74,81,Olivet Nazarene Univ,ONU Tiger Racing,8,0,8,
75,43,Cincinnati State Technical Comm College,Cincy Baja,7,0,7,
76,69,Univ of Evansville,Aces Racing,5,0,5,
77,65,Northwestern Univ,Northwestern MotorCats,4,0,4,
78,70,Clemson Univ,Clemson University BAJA SAE,0,0,3.51,
,21,Harding Univ,Bison Baja,,,0,
,23,Cummins College Of Engineering,TZ8,,,0,
,29,Northern Arizona Univ,Lumberjack Motorsports,,,0,
,30,Western Kentucky Univ,WKU Blackhawks,,,0,
,32,Louisiana Tech Univ,LA Tech Baja,,,0,
,41,Michigan Tech Univ,MTU Blizzard Baja,,,0,
,44,Univ of Texas -Tyler,Desert Hare,,,0,
,48,Montana Tech,MTech Baja,,,0,
,50,Lipscomb Univ,Lipscomb Motorsports,,,0,
,59,Oklahoma State Univ,Cowboy Racing,,,0,
,66,Citadel,Bulldog Baja,,,0,
,79,Northern Kentucky Univ,Norse Baja,,,0,
,89,Ohio Univ,Bobcat Baja,,,0,
,90,Christian Brothers Univ,Desert Demons,,,0,
,124,Western Michigan Univ,Bronco BAJA,,,0,
