Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,# Major Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,# Major Penalty Run 2,Total Time Run 2,Best Time,Score
,79,Northern Kentucky Univ,Norse Baja,,,,,,,,,,0
,81,Olivet Nazarene Univ,ONU Tiger Racing,,,,,,,,,,0
,83,Arkansas State Univ,Red Wolf Riders,,,,,,,,,,0
,88,West Virginia Univ Inst of Tech,Golden Bear Racing,,,,,,,,,,0
,89,Ohio Univ,Bobcat Baja,,,,,,,,,,0
,90,Christian Brothers Univ,Desert Demons,,,,,,,,,,0
,91,Northeastern Univ,Skunkworks,,,,,,,,,,0
,92,Univ of Tennessee -Chattanooga,Racing Mocs,,,,,,,,,,0
,93,Univ of Central Florida,Knights Racing,,,,,,,,,,0
,95,Univ of Maryland - Baltimore County,UMBC Racing,,,,,,,,,,0
,97,Clarkson University,Golden Knights Racing,,,,,,,,,,0
,100,Case Western Reserve Univ,CWRU Motorsports,,,,,,,,,,0
,102,Georgia Southern Univ,Eagle Motorsports,,,,,,,,,,0
,103,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,,,,,,,,,,0
,104,Univ of Missouri - Kansas City,Roo Racing,,,,,,,,,,0
,105,Univ of Rochester,Yellowjacket Racing,,,,,,,,,,0
,110,McGill Univ,McGill Baja Racing,,,,,,,,,,0
,111,San Diego State Univ,Aztec Baja Racing,,,,,,,,,,0
,115,Univ of Nevada - Las Vegas,Rebel Racing,,,,,,,,,,0
,117,New Jersey Institute of Technology,Highlander racing,,,,,,,,,,0
,118,Univ of San Diego,Torero Racing,,,,,,,,,,0
,119,Queen's Univ,Queen's Baja SAE,,,,,,,,,,0
,124,Western Michigan Univ,Bronco BAJA,,,,,,,,,,0
