Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
,75,Changzhou Vocational Inst of Eng (CZIE),CBT,,,,,,,0
,87,Univ of Alaska - Anchorage,Seawolf Motorsports,,,,,,,0
,95,Idaho State University,Idaho State University,,,,,,,0
,100,Univ of San Diego,Torero Racing,,,,,,,0
,101,Univ of Petroleum & Minerals,KFUPMBAJA,,,,,,,0
,103,California Maritime Academy,Cal Maritime,,,,,,,0
,107,Loyola Marymount Univ,LMU LIONS,,,,,,,0
,108,Univ of Calif - Davis,UC Davis Baja,,,,,,,0
,121,Univ of Illinois - Chicago,UIC Motorsports,,,,,,,0
,124,Univ of Memphis,Tiger Baja,,,,,,,0
,131,ESIA Tlalnepantla,LEONES BLANCOS,,,,,,,0
,138,Univ of Ottawa,Baja SAE University of Ottawa,,,,,,,0
,148,California State Univ - Fresno,Bulldog Racing,,,,,,,0
,154,Universidad Anahuac Queretaro,Anahuac Racing Queretaro,,,,,,,0
