Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,43,Univ of Nevada - Las Vegas,Rebel Racing,20,0,100,
2,125,Ecole de Technologie Superieure,Baja ETS,20,0,92.66,
3,105,Univ of Michigan - Ann Arbor,Michigan Baja Racing,17,0,91.86,
4,38,Université Laval,Alerion,20,0,91.64,
5,56,Rochester Institute of Technology,RIOT RACING,16,0,88.46,
6,107,Univ of Maryland - Baltimore County,UMBC Racing,19,0,86.69,
7,40,Univ of Wisconsin - Madison,Badger Racing,20,0,84.92,
8,31,Univ of Maryland - College Park,Terps Racing,18,0,84.63,
9,104,Cornell Univ,Cornell Baja Racing,20,0,80.51,
10,93,Univ of Akron,Zips Baja,11,0,79.8,
11,36,Univ of Iowa,Iowa Baja Racing,10,0,79.53,
12,19,Johns Hopkins Univ,Blue Jay Racing,20,0,79.14,
13,45,George Washington Univ,GW Baja,18,0,79.08,
14,97,Univ Federal do Rio Grande do Norte,Car-Kara Baja SAE,19,0,78.47,
15,35,Case Western Reserve Univ,CWRU Motorsports,17,0,77.67,
16,119,Georgia Institute of Technology,GT Off-Road,12,0,77.67,
17,83,California Polytechnic State Univ-SLO,Cal Poly Racing,20,0,77.55,
18,75,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,14,0,76.1,
19,29,IPN - UPIITA,Ocelot Racing IPN-UPIITA,20,0,73.13,
20,30,Queen's Univ,Queen's Baja SAE,20,0,70.98,
21,17,McMaster Univ,McMaster Baja Racing,20,0,69.99,
22,95,Univ of Missouri - Kansas City,Roo Racing,19,0,69.22,
23,39,California State Poly Univ - Pomona,Bronco Racing,10,0,67.96,
24,28,Clarkson University,Golden Knights Racing,7,0,67.96,
25,110,Pennsylvania College of Technology,PCT Baja,18,0,67.92,
26,32,Purdue Univ - W Lafayette,Purdue Baja Racing,19,0,67.86,
27,62,Cleveland State Univ,Vikings Racing,6,0,67.01,
28,73,California State Univ- Chico,Wildcat racing,14,0,66.09,
29,72,New Jersey Institute of Technology,Highlander racing,9,0,65.72,
30,76,Montana State Univ - Bozeman,Bobcat Motorsports,11,0,65.36,
