Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
31,120,Youngstown State Univ,penguin baja racing,20,0,64.66,
32,24,Northeastern Univ,Skunkworks,8,0,64.64,
33,16,Virginia Tech,VT Baja,8,0,64.45,
34,121,Tennessee Tech Univ,TnTech Baja,17,0,64.08,
35,84,Pittsburg State University,Gorilla Racing,7,0,61.46,
36,18,Ohio Northern Univ,Polar Bear Racing,6,0,60.64,
37,82,Univ of Puerto Rico-Mayaquez,RUM Racing Baja SAE,17,0,60.56,
38,87,Univ of Central Florida,Knights Racing,19,0,60.4,
39,21,Univ of San Diego,Torero Racing,13,0,58.57,
40,34,McGill Univ,McGill Baja Racing,8,0,56.61,
41,94,SUNY Inst of Tech - Utica,Wildcat Motorsports,17,0,52.57,
42,26,California State Univ - Los Angeles,Rugged Eagle Motorsports,10,0,50.83,
43,41,King Fahd Univ of Petroleum & Minerals,kfupm racing,4,0,50.26,
44,100,Lehigh Univ,Lehigh Engineers,13,0,49.75,
45,66,Stevens Institute of Technology,Dirty Ducks Racing,8,0,49.33,
46,64,Univ of Manitoba,Red Lion Racing,15,0,49.23,
47,118,West Virginia Univ,Mountaineers,14,0,48.63,
48,23,Univ of Arizona,Baja Wildcat Racing,13,0,47.96,
49,123,North Carolina State Univ - Raleigh,Pack Motorsports,16,0,47.64,
50,47,Univ of Tennessee -Chattanooga,Racing Mocs,13,0,47.54,
51,86,Kansas State Univ,Wildcat Offroad,11,0,47.35,
52,61,San Diego State Univ,Aztec Baja Racing,4,0,46.5,
53,15,Univ of Rochester,Yellowjacket Racing,7,0,43.24,
54,89,The Ohio State University,Baja Buckeyes,11,0,42.74,
55,59,Georgia Southern Univ,Eagle Motorsports,14,0,42.37,
56,50,California State Univ - Fresno,Fresno State Bulldog Racing,0,0,39.84,
57,115,North Carolina A & T State Univ,Aggie Racing,13,0,39.07,
58,126,Univ of Illinois - Chicago,UIC Motorsports,10,0,37.73,
59,37,Rowan Univ,Rowan Motorsports,13,0,36.14,
60,25,College of New Jersey,TCNJ Motorsports,17,0,36.14,
61,14,SUNY - Stony Brook,Stony Brook Motorsports,13,0,35.33,
62,44,Manhattan College,Manhattan College Jasper Racing,12,0,35.18,
63,68,Iowa State Univ,Cyclone Off-Road Racing,8,0,34.15,
64,96,Centro Universitario Da FEI,FEI Baja,0,0,32.03,Updated
65,69,New York University,NYU Tandon Motorsports,11,0,31.9,
66,127,Michigan State University,MSU Baja Racing,12,0,30.56,
67,52,Miami Univ,Redhawk Racing,4,0,30.07,
68,67,Concordia University,Concordia Baja Racing,17,0,29.99,
69,78,Union College,Union College BAJA Racing,8,0,29.88,
70,102,Universidade de Santa Cruz do Sul,Baja de Galp̣o - UNISC,15,0,29.47,
71,49,San Jose State University,Spartan Racing,5,0,27.68,
72,79,Grove City College,Grove City Racing,9,0,25.55,
73,116,Purdue Univ - Northwest,PNW Baja Motorsports,17,0,20.22,
74,65,Univ of Wisconsin - Platteville,Pioneer Racing,20,0,20,
75,91,Univ of Nevada - Reno,Wolf Pack Racing,15,0,16.94,
76,80,Quinnipiac College,Bobcat Racing,15,0,15,No cost submitted
77,42,Wichita State Univ,Shocker Racing,11,0,11,Missed audit
77,90,Fairfield Univ,Fairfield University Baja,11,0,11,Missing most processes in report and report determinded to be incomplete
79,112,Kettering Univ,Kettering Motorsports,10,0,10,Missed audit
80,103,Univ of Missouri,Mizzou Baja Racing,8,0,8,High Prototype cost
81,55,Penn State Univ - Altoona,Penn State Altoona Motorsports,7,0,7,High Prototype cost
82,22,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,0,0,0,Missed audit/report not submitted
,33,Univ of Oklahoma,Sooner Off-Road,,,0,
,63,Binghamton Univ,Binghamton University,,,0,
,74,Univ of Georgia,UGA Motorsports,,,0,
,77,Ryerson Univ,Ryerson Baja Racing,,,0,
,106,Univ of Texas - El Paso,Madpete Motorsports,,,0,
,111,Univ of Wisconsin - Milwaukee,Brew City Baja,,,0,
