Rank,Car #,School,Team,Time Run 1,Time Run 2,Best Time,Score
1,105,Univ of Michigan - Ann Arbor,Michigan Baja Racing,3.981,,3.981,70
2,110,Pennsylvania College of Technology,PCT Baja,4.023,4.876,4.023,68.52
3,104,Cornell Univ,Cornell Baja Racing,4.268,4.169,4.169,63.39
4,29,IPN - UPIITA,Ocelot Racing IPN-UPIITA,4.338,4.197,4.197,62.4
5,38,Université Laval,Alerion,4.215,4.219,4.215,61.77
6,35,Case Western Reserve Univ,CWRU Motorsports,4.264,4.33,4.264,60.05
7,125,Ecole de Technologie Superieure,Baja ETS,4.274,4.292,4.274,59.7
8,102,Universidade de Santa Cruz do Sul,Baja de GalpÃ£o - UNISC,4.279,4.316,4.279,59.52
9,96,Centro Universitario Da FEI,FEI Baja,4.296,4.351,4.296,58.92
10,56,Rochester Institute of Technology,RIOT RACING,4.334,4.302,4.302,58.71
11,18,Ohio Northern Univ,Polar Bear Racing,4.313,4.414,4.313,58.32
12,17,McMaster Univ,McMaster Baja Racing,4.327,4.5,4.327,57.83
13,40,Univ of Wisconsin - Madison,Badger Racing,4.358,4.462,4.358,56.74
14,43,Univ of Nevada - Las Vegas,Rebel Racing,4.38,4.361,4.361,56.64
15,31,Univ of Maryland - College Park,Terps Racing,4.592,4.407,4.407,55.02
16,95,Univ of Missouri - Kansas City,Roo Racing,4.488,4.427,4.427,54.32
17,45,George Washington Univ,GW Baja,4.546,4.442,4.442,53.79
18,61,San Diego State Univ,Aztec Baja Racing,4.469,4.455,4.455,53.33
19,93,Univ of Akron,Zips Baja,4.486,4.455,4.455,53.33
20,120,Youngstown State Univ,penguin baja racing,4.536,4.481,4.481,52.42
21,119,Georgia Institute of Technology,GT Off-Road,4.643,4.493,4.493,51.99
22,39,California State Poly Univ - Pomona,Bronco Racing,4.666,4.528,4.528,50.76
23,123,North Carolina State Univ - Raleigh,Pack Motorsports,4.537,4.561,4.537,50.45
24,87,Univ of Central Florida,Knights Racing,4.556,4.7,4.556,49.78
25,121,Tennessee Tech Univ,TnTech Baja,4.562,4.624,4.562,49.57
26,100,Lehigh Univ,Lehigh Engineers,4.611,4.569,4.569,49.32
27,24,Northeastern Univ,Skunkworks,4.572,4.646,4.572,49.22
28,19,Johns Hopkins Univ,Blue Jay Racing,4.673,4.593,4.593,48.48
29,83,California Polytechnic State Univ-SLO,Cal Poly Racing,4.61,4.698,4.61,47.88
30,73,California State Univ- Chico,Wildcat racing,4.691,4.633,4.633,47.07
31,49,San Jose State University,Spartan Racing,4.634,4.673,4.634,47.04
32,69,New York University,NYU Tandon Motorsports,4.684,4.644,4.644,46.68
33,16,Virginia Tech,VT Baja,4.644,4.777,4.644,46.68
34,30,Queen's Univ,Queen's Baja SAE,5.002,4.645,4.645,46.65
35,127,Michigan State University,MSU Baja Racing,4.953,4.697,4.697,44.82
36,34,McGill Univ,McGill Baja Racing,4.702,4.745,4.702,44.64
37,67,Concordia University,Concordia Baja Racing,4.736,4.924,4.736,43.45
38,26,California State Univ - Los Angeles,Rugged Eagle Motorsports,4.764,,4.764,42.46
39,62,Cleveland State Univ,Vikings Racing,4.824,4.781,4.781,41.87
40,15,Univ of Rochester,Yellowjacket Racing,4.811,4.783,4.783,41.8
41,75,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,5.562,4.783,4.783,41.8
42,28,Clarkson University,Golden Knights Racing,4.784,5.493,4.784,41.76
43,68,Iowa State Univ,Cyclone Off-Road Racing,4.801,4.797,4.797,41.3
44,59,Georgia Southern Univ,Eagle Motorsports,4.907,4.806,4.806,40.99
45,32,Purdue Univ - W Lafayette,Purdue Baja Racing,4.883,4.811,4.811,40.81
46,55,Penn State Univ - Altoona,Penn State Altoona Motorsports,4.924,4.824,4.824,40.35
47,84,Pittsburg State University,Gorilla Racing,4.878,4.831,4.831,40.11
48,107,Univ of Maryland - Baltimore County,UMBC Racing,4.836,4.861,4.836,39.93
49,36,Univ of Iowa,Iowa Baja Racing,5.023,4.849,4.849,39.48
50,72,New Jersey Institute of Technology,Highlander racing,4.852,,4.852,39.37
51,86,Kansas State Univ,Wildcat Offroad,4.894,4.881,4.881,38.35
52,65,Univ of Wisconsin - Platteville,Pioneer Racing,4.885,4.983,4.885,38.21
53,64,Univ of Manitoba,Red Lion Racing,4.889,4.989,4.889,38.07
54,90,Fairfield Univ,Fairfield University Baja,4.902,4.984,4.902,37.61
55,23,Univ of Arizona,Baja Wildcat Racing,4.922,4.995,4.922,36.91
56,78,Union College,Union College BAJA Racing,4.959,,4.959,35.61
57,103,Univ of Missouri,Mizzou Baja Racing,4.972,5.005,4.972,35.15
58,116,Purdue Univ - Northwest,PNW Baja Motorsports,10.523,5.006,5.006,33.95
59,89,The Ohio State University,Baja Buckeyes,5.025,5.231,5.025,33.29
60,126,Univ of Illinois - Chicago,UIC Motorsports,5.313,5.111,5.111,30.26
61,76,Montana State Univ - Bozeman,Bobcat Motorsports,5.137,5.273,5.137,29.35
62,115,North Carolina A & T State Univ,Aggie Racing,5.374,5.183,5.183,27.73
63,94,SUNY Inst of Tech - Utica,Wildcat Motorsports,5.231,48.916,5.231,26.04
