Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
70,90,Fairfield Univ,Fairfield University Baja,0.5,26.716,0,20.007,0,0.5,0.26
71,47,Univ of Tennessee -Chattanooga,Racing Mocs,0,0,,,0,0,0
72,75,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,0,14.007,,,0,0,0
,14,SUNY - Stony Brook,Stony Brook Motorsports,,,,,,,0
,22,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,,,,,,,0
,33,Univ of Oklahoma,Sooner Off-Road,,,,,,,0
,41,King Fahd Univ of Petroleum & Minerals,kfupm racing,,,,,,,0
,42,Wichita State Univ,Shocker Racing,,,,,,,0
,45,George Washington Univ,GW Baja,,,,,,,0
,50,California State Univ - Fresno,Fresno State Bulldog Racing,,,,,,,0
,63,Binghamton Univ,Binghamton University,,,,,,,0
,72,New Jersey Institute of Technology,Highlander racing,,,,,,,0
,74,Univ of Georgia,UGA Motorsports,,,,,,,0
,77,Ryerson Univ,Ryerson Baja Racing,,,,,,,0
,91,Univ of Nevada - Reno,Wolf Pack Racing,,,,,,,0
,97,Univ Federal do Rio Grande do Norte,Car-Kara Baja SAE,,,,,,,0
,106,Univ of Texas - El Paso,Madpete Motorsports,,,,,,,0
,111,Univ of Wisconsin - Milwaukee,Brew City Baja,,,,,,,0
,112,Kettering Univ,Kettering Motorsports,,,,,,,0
