Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,Total Time Run 2,Best Time,Score
52,82,Univ of Puerto Rico-Mayaquez,RUM Racing Baja SAE,136.361,0,136.361,41.774,0,--DNF--,136.361,13.88
53,65,Univ of Wisconsin - Platteville,Pioneer Racing,69.188,0,--DNF--,120.807,9,138.807,138.807,12.04
54,90,Fairfield Univ,Fairfield University Baja,133.549,14,161.549,,,,161.549,0
,14,SUNY - Stony Brook,Stony Brook Motorsports,,,,,,,,0
,22,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,,,,,,,,0
,23,Univ of Arizona,Baja Wildcat Racing,,,,,,,,0
,26,California State Univ - Los Angeles,Rugged Eagle Motorsports,,,,,,,,0
,29,IPN - UPIITA,Ocelot Racing IPN-UPIITA,,,,,,,,0
,33,Univ of Oklahoma,Sooner Off-Road,,,,,,,,0
,39,California State Poly Univ - Pomona,Bronco Racing,,,,,,,,0
,41,King Fahd Univ of Petroleum & Minerals,kfupm racing,,,,,,,,0
,42,Wichita State Univ,Shocker Racing,,,,,,,,0
,44,Manhattan College,Manhattan College Jasper Racing,,,,,,,,0
,45,George Washington Univ,GW Baja,,,,,,,,0
,50,California State Univ - Fresno,Fresno State Bulldog Racing,,,,,,,,0
,52,Miami Univ,Redhawk Racing,,,,,,,,0
,55,Penn State Univ - Altoona,Penn State Altoona Motorsports,,,,,,,,0
,63,Binghamton Univ,Binghamton University,,,,,,,,0
,66,Stevens Institute of Technology,Dirty Ducks Racing,,,,,,,,0
,68,Iowa State Univ,Cyclone Off-Road Racing,,,,,,,,0
,72,New Jersey Institute of Technology,Highlander racing,,,,,,,,0
,74,Univ of Georgia,UGA Motorsports,,,,,,,,0
,76,Montana State Univ - Bozeman,Bobcat Motorsports,,,,,,,,0
,77,Ryerson Univ,Ryerson Baja Racing,,,,,,,,0
,78,Union College,Union College BAJA Racing,,,,,,,,0
,84,Pittsburg State University,Gorilla Racing,,,,,,,,0
,91,Univ of Nevada - Reno,Wolf Pack Racing,,,,,,,,0
,97,Univ Federal do Rio Grande do Norte,Car-Kara Baja SAE,,,,,,,,0
,100,Lehigh Univ,Lehigh Engineers,,,,,,,,0
,106,Univ of Texas - El Paso,Madpete Motorsports,,,,,,,,0
,107,Univ of Maryland - Baltimore County,UMBC Racing,,,,,,,,0
,111,Univ of Wisconsin - Milwaukee,Brew City Baja,,,,,,,,0
,112,Kettering Univ,Kettering Motorsports,,,,,,,,0
,115,North Carolina A & T State Univ,Aggie Racing,,,,,,,,0
,116,Purdue Univ - Northwest,PNW Baja Motorsports,,,,,,,,0
,118,West Virginia Univ,Mountaineers,,,,,,,,0
,126,Univ of Illinois - Chicago,UIC Motorsports,,,,,,,,0
